week_start,pessimistic,baseline,optimistic
2017-09-04,529.5,661.8,794.2
2017-09-11,563.1,703.8,844.6
2017-09-18,563.1,703.8,844.6
2017-09-25,559.6,699.4,839.3
2017-10-02,557.7,697.2,836.6
2017-10-09,560.9,701.1,841.3
2017-10-16,567.8,709.8,851.7
2017-10-23,559.9,699.8,839.8
2017-10-30,564.3,705.4,846.4
2017-11-06,550.4,688.0,825.6
2017-11-13,550.4,688.0,825.6
2017-11-20,540.4,675.5,810.7
2017-11-27,540.4,675.5,810.7
2017-12-04,540.4,675.5,810.7
2017-12-11,535.9,669.9,803.8
2017-12-18,535.9,669.9,803.8
2017-12-25,535.9,669.9,803.8
2018-01-01,541.2,676.5,811.8
2018-01-08,541.2,676.5,811.8
2018-01-15,541.2,676.5,811.8
2018-01-22,545.8,682.2,818.6
2018-01-29,545.8,682.2,818.6
2018-02-05,555.7,694.7,833.6
2018-02-12,555.7,694.7,833.6
2018-02-19,560.9,701.2,841.4
2018-02-26,560.9,701.2,841.4
