week_start,bookings
2015-06-29,258
2015-07-06,284
2015-07-13,377
2015-07-20,369
2015-07-27,330
2015-08-03,503
2015-08-10,644
2015-08-17,498
2015-08-24,458
2015-08-31,695
2015-09-07,646
2015-09-14,792
2015-09-21,730
2015-09-28,676
2015-10-05,764
2015-10-12,798
2015-10-19,725
2015-10-26,537
2015-11-02,429
2015-11-09,264
2015-11-16,591
2015-11-23,472
2015-11-30,577
2015-12-07,290
2015-12-14,270
2015-12-21,419
2015-12-28,626
2016-01-04,317
2016-01-11,362
2016-01-18,411
2016-01-25,405
2016-02-01,607
2016-02-08,641
2016-02-15,579
2016-02-22,665
2016-02-29,637
2016-03-07,742
2016-03-14,799
2016-03-21,733
2016-03-28,702
2016-04-04,864
2016-04-11,737
2016-04-18,813
2016-04-25,797
2016-05-02,793
2016-05-09,823
2016-05-16,899
2016-05-23,738
2016-05-30,751
2016-06-06,770
2016-06-13,728
2016-06-20,825
2016-06-27,627
2016-07-04,657
2016-07-11,671
2016-07-18,768
2016-07-25,710
2016-08-01,726
2016-08-08,729
2016-08-15,790
2016-08-22,694
2016-08-29,700
2016-09-05,670
2016-09-12,873
2016-09-19,817
2016-09-26,772
2016-10-03,829
2016-10-10,914
2016-10-17,785
2016-10-24,865
2016-10-31,708
2016-11-07,703
2016-11-14,682
2016-11-21,618
2016-11-28,575
2016-12-05,560
2016-12-12,450
2016-12-19,472
2016-12-26,678
2017-01-02,522
2017-01-09,486
2017-01-16,635
2017-01-23,556
2017-01-30,570
2017-02-06,603
2017-02-13,764
2017-02-20,854
2017-02-27,726
2017-03-06,712
2017-03-13,772
2017-03-20,671
2017-03-27,724
2017-04-03,784
2017-04-10,738
2017-04-17,731
2017-04-24,781
2017-05-01,778
2017-05-08,820
2017-05-15,748
2017-05-22,898
2017-05-29,779
2017-06-05,766
2017-06-12,694
2017-06-19,730
2017-06-26,737
2017-07-03,788
2017-07-10,835
2017-07-17,688
2017-07-24,698
2017-07-31,707
2017-08-07,686
2017-08-14,726
2017-08-21,722
2017-08-28,379
